"DATE","PINTPAID65Q4","PINTPAID66Q1","PINTPAID66Q2","PINTPAID66Q3","PINTPAID66Q4","PINTPAID67Q1","PINTPAID67Q2","PINTPAID67Q3","PINTPAID67Q4","PINTPAID68Q1","PINTPAID68Q2","PINTPAID68Q3","PINTPAID68Q4","PINTPAID69Q1","PINTPAID69Q2","PINTPAID69Q3","PINTPAID69Q4","PINTPAID70Q1","PINTPAID70Q2","PINTPAID70Q3","PINTPAID70Q4","PINTPAID71Q1","PINTPAID71Q2","PINTPAID71Q3","PINTPAID71Q4","PINTPAID72Q1","PINTPAID72Q2","PINTPAID72Q3","PINTPAID72Q4","PINTPAID73Q1","PINTPAID73Q2","PINTPAID73Q3","PINTPAID73Q4","PINTPAID74Q1","PINTPAID74Q2","PINTPAID74Q3","PINTPAID74Q4","PINTPAID75Q1","PINTPAID75Q2","PINTPAID75Q3","PINTPAID75Q4","PINTPAID76Q1","PINTPAID76Q2","PINTPAID76Q3","PINTPAID76Q4","PINTPAID77Q1","PINTPAID77Q2","PINTPAID77Q3","PINTPAID77Q4","PINTPAID78Q1","PINTPAID78Q2","PINTPAID78Q3","PINTPAID78Q4","PINTPAID79Q1","PINTPAID79Q2","PINTPAID79Q3","PINTPAID79Q4","PINTPAID80Q1","PINTPAID80Q2","PINTPAID80Q3","PINTPAID80Q4","PINTPAID81Q1","PINTPAID81Q2","PINTPAID81Q3","PINTPAID81Q4","PINTPAID82Q1","PINTPAID82Q2","PINTPAID82Q3","PINTPAID82Q4","PINTPAID83Q1","PINTPAID83Q2","PINTPAID83Q3","PINTPAID83Q4","PINTPAID84Q1","PINTPAID84Q2","PINTPAID84Q3","PINTPAID84Q4","PINTPAID85Q1","PINTPAID85Q2","PINTPAID85Q3","PINTPAID85Q4","PINTPAID86Q1","PINTPAID86Q2","PINTPAID86Q3","PINTPAID86Q4","PINTPAID87Q1","PINTPAID87Q2","PINTPAID87Q3","PINTPAID87Q4","PINTPAID88Q1","PINTPAID88Q2","PINTPAID88Q3","PINTPAID88Q4","PINTPAID89Q1","PINTPAID89Q2","PINTPAID89Q3","PINTPAID89Q4","PINTPAID90Q1","PINTPAID90Q2","PINTPAID90Q3","PINTPAID90Q4","PINTPAID91Q1","PINTPAID91Q2","PINTPAID91Q3","PINTPAID91Q4","PINTPAID92Q1","PINTPAID92Q2","PINTPAID92Q3","PINTPAID92Q4","PINTPAID93Q1","PINTPAID93Q2","PINTPAID93Q3","PINTPAID93Q4","PINTPAID94Q1","PINTPAID94Q2","PINTPAID94Q3","PINTPAID94Q4","PINTPAID95Q1","PINTPAID95Q2","PINTPAID95Q3","PINTPAID95Q4","PINTPAID96Q1","PINTPAID96Q2","PINTPAID96Q3","PINTPAID96Q4","PINTPAID97Q1","PINTPAID97Q2","PINTPAID97Q3","PINTPAID97Q4","PINTPAID98Q1","PINTPAID98Q2","PINTPAID98Q3","PINTPAID98Q4","PINTPAID99Q1","PINTPAID99Q2","PINTPAID99Q3","PINTPAID99Q4","PINTPAID00Q1","PINTPAID00Q2","PINTPAID00Q3","PINTPAID00Q4","PINTPAID01Q1","PINTPAID01Q2","PINTPAID01Q3","PINTPAID01Q4","PINTPAID02Q1","PINTPAID02Q2","PINTPAID02Q3","PINTPAID02Q4","PINTPAID03Q1","PINTPAID03Q2","PINTPAID03Q3","PINTPAID03Q4","PINTPAID04Q1","PINTPAID04Q2","PINTPAID04Q3","PINTPAID04Q4","PINTPAID05Q1","PINTPAID05Q2","PINTPAID05Q3","PINTPAID05Q4","PINTPAID06Q1","PINTPAID06Q2","PINTPAID06Q3","PINTPAID06Q4","PINTPAID07Q1","PINTPAID07Q2","PINTPAID07Q3","PINTPAID07Q4","PINTPAID08Q1","PINTPAID08Q2","PINTPAID08Q3","PINTPAID08Q4","PINTPAID09Q1","PINTPAID09Q2","PINTPAID09Q3","PINTPAID09Q4","PINTPAID10Q1","PINTPAID10Q2","PINTPAID10Q3","PINTPAID10Q4","PINTPAID11Q1","PINTPAID11Q2","PINTPAID11Q3","PINTPAID11Q4","PINTPAID12Q1","PINTPAID12Q2","PINTPAID12Q3","PINTPAID12Q4","PINTPAID13Q1","PINTPAID13Q2","PINTPAID13Q3","PINTPAID13Q4","PINTPAID14Q1","PINTPAID14Q2","PINTPAID14Q3","PINTPAID14Q4","PINTPAID15Q1","PINTPAID15Q2"
"1988:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","100.0","99.8","99.8","96.7","96.7","96.7","96.7","93.4","93.4","93.4","93.4","93.4","93.4","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.6","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","#N/A","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","104.0","104.0","104.0","104.0","104.0","104.0","104.0","104.0"
"1988:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","101.1","101.2","98.1","98.1","98.1","98.1","95.9","95.9","95.9","95.9","95.9","95.9","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","#N/A","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","94.2","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","95.8","106.0","106.0","106.0","106.0","106.0","106.0","106.0","106.0"
"1989:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","103.0","100.1","100.1","100.1","100.1","98.6","98.6","98.6","98.6","98.6","98.6","97.4","97.4","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.3","99.3","99.3","99.3","99.3","99.3","99.3","99.3","99.3","99.3","99.3","99.3","99.3","99.3","99.3","#N/A","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","102.8","102.8","102.8","102.8","102.8","102.8","102.8","102.8","102.8","102.8","102.8","102.8","102.8","102.8","102.8","102.8","102.8","102.8","102.8","102.8","102.8","102.8","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","110.8","110.8","110.8","110.8","110.8","110.8","110.8","110.8"
"1989:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","101.4","101.5","101.5","101.5","101.0","101.0","101.0","101.0","101.0","101.0","100.6","100.6","101.9","101.9","101.9","101.9","101.9","101.9","101.9","101.9","101.9","101.9","101.9","101.9","101.9","101.9","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.6","#N/A","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","105.1","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","114.2","114.2","114.2","114.2","114.2","114.2","114.2","114.2"
"1989:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","102.2","102.0","102.0","103.4","103.4","103.4","103.4","103.4","103.4","103.1","103.1","104.3","104.3","104.3","104.3","104.3","104.3","104.3","104.3","104.3","104.3","104.3","104.3","104.3","104.3","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","#N/A","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","110.2","110.2","110.2","110.2","110.2","110.2","110.2","110.2","110.2","110.2","110.2","110.2","110.2","110.2","110.2","110.2","110.2","110.2","110.2","110.2","110.2","110.2","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","105.3","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9"
"1989:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","103.1","103.1","105.7","105.7","105.7","105.7","105.7","105.7","105.4","105.4","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","105.2","#N/A","111.6","111.6","111.6","111.6","111.6","111.6","111.6","111.6","111.6","111.6","111.6","111.6","111.6","111.6","111.6","111.6","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","113.1","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","118.1","118.1","118.1","118.1","118.1","118.1","118.1","118.1"
"1990:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","104.6","107.4","107.4","107.4","107.4","107.4","107.4","107.2","107.2","108.4","108.4","108.4","108.4","108.4","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","106.7","#N/A","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","112.6","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","109.4","109.4","109.4","109.4","109.4","109.4","109.4","109.4","109.4","109.4","109.4","109.4","109.4","109.4","109.4","109.4","118.8","118.8","118.8","118.8","118.8","118.8","118.8","118.8"
"1990:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","107.6","107.5","107.5","107.5","107.5","107.5","107.6","107.6","108.9","108.9","108.9","108.9","108.9","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","108.0","#N/A","114.5","114.5","114.5","114.5","114.5","114.5","114.5","114.5","114.5","114.5","114.5","114.5","114.5","114.5","114.5","114.5","115.6","115.6","115.6","115.6","115.6","115.6","115.6","115.6","115.6","115.6","115.6","115.6","115.6","115.6","115.6","115.6","115.6","115.6","115.6","115.6","115.6","115.6","110.6","110.6","110.6","110.6","110.6","110.6","110.6","110.6","110.6","110.6","110.6","110.6","110.6","110.6","110.6","110.6","119.2","119.2","119.2","119.2","119.2","119.2","119.2","119.2"
"1990:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","107.9","107.9","107.9","107.9","107.9","107.7","107.7","110.0","110.0","110.0","110.0","110.0","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","109.8","#N/A","117.1","117.1","117.1","117.1","117.1","117.1","117.1","117.1","117.1","117.1","117.1","117.1","117.1","117.1","117.1","117.1","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","112.3","112.3","112.3","112.3","112.3","112.3","112.3","112.3","112.3","112.3","112.3","112.3","112.3","112.3","112.3","112.3","120.9","120.9","120.9","120.9","120.9","120.9","120.9","120.9"
"1990:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","108.3","108.5","108.5","108.5","107.6","107.6","111.1","111.1","111.1","111.1","111.1","110.9","110.9","110.9","110.9","110.9","110.9","110.9","110.9","110.9","110.9","110.9","110.9","110.9","110.9","110.9","110.9","110.9","110.9","110.9","110.9","110.9","110.9","110.9","110.9","#N/A","118.8","118.8","118.8","118.8","118.8","118.8","118.8","118.8","118.8","118.8","118.8","118.8","118.8","118.8","118.8","118.8","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","113.0","113.0","113.0","113.0","113.0","113.0","113.0","113.0","113.0","113.0","113.0","113.0","113.0","113.0","113.0","113.0","121.5","121.5","121.5","121.5","121.5","121.5","121.5","121.5"
"1991:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","108.8","108.6","108.6","107.5","107.5","112.2","112.2","112.2","112.2","112.2","111.9","111.9","111.9","112.2","112.2","112.2","112.2","112.2","112.2","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","#N/A","118.5","118.5","118.5","118.5","118.5","118.5","118.5","118.5","118.5","118.5","118.5","118.5","118.5","118.5","118.5","118.5","118.8","118.8","118.8","118.8","118.8","118.8","118.8","118.8","118.8","118.8","118.8","118.8","118.8","118.8","118.8","118.8","118.8","118.8","118.8","118.8","118.8","118.8","114.8","114.8","114.8","114.8","114.8","114.8","114.8","114.8","114.8","114.8","114.8","114.8","114.8","114.8","114.8","114.8","121.8","121.8","121.8","121.8","121.8","121.8","121.8","121.8"
"1991:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","108.1","107.8","107.1","107.1","112.7","112.7","112.7","112.7","112.7","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.5","112.0","112.0","112.0","112.0","112.0","112.0","112.0","112.0","112.0","112.0","112.0","112.0","112.0","112.0","112.0","#N/A","119.0","119.0","119.0","119.0","119.0","119.0","119.0","119.0","119.0","119.0","119.0","119.0","119.0","119.0","119.0","119.0","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","115.1","115.1","115.1","115.1","115.1","115.1","115.1","115.1","115.1","115.1","115.1","115.1","115.1","115.1","115.1","115.1","122.2","122.2","122.2","122.2","122.2","122.2","122.2","122.2"
"1991:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","106.7","106.3","106.3","112.5","112.5","112.5","112.5","112.5","112.2","112.2","112.2","112.2","112.2","112.2","112.2","112.2","112.2","112.0","112.0","112.0","112.0","112.0","112.0","112.0","112.0","112.0","112.0","112.0","112.0","112.0","112.0","112.0","#N/A","119.0","119.0","119.0","119.0","119.0","119.0","119.0","119.0","119.0","119.0","119.0","119.0","119.0","119.0","119.0","119.0","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","118.3","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","121.9","121.9","121.9","121.9","121.9","121.9","121.9","121.9"
