"DATE","RINVRESID70M1","RINVRESID70M2","RINVRESID70M3","RINVRESID70M4","RINVRESID70M5","RINVRESID70M6","RINVRESID70M7","RINVRESID70M8","RINVRESID70M9","RINVRESID70M10","RINVRESID70M11","RINVRESID70M12","RINVRESID71M1","RINVRESID71M2","RINVRESID71M3","RINVRESID71M4","RINVRESID71M5","RINVRESID71M6","RINVRESID71M7","RINVRESID71M8","RINVRESID71M9","RINVRESID71M10","RINVRESID71M11","RINVRESID71M12","RINVRESID72M1","RINVRESID72M2","RINVRESID72M3","RINVRESID72M4","RINVRESID72M5","RINVRESID72M6","RINVRESID72M7","RINVRESID72M8","RINVRESID72M9","RINVRESID72M10","RINVRESID72M11","RINVRESID72M12","RINVRESID73M1","RINVRESID73M2","RINVRESID73M3","RINVRESID73M4","RINVRESID73M5","RINVRESID73M6","RINVRESID73M7","RINVRESID73M8","RINVRESID73M9","RINVRESID73M10","RINVRESID73M11","RINVRESID73M12","RINVRESID74M1","RINVRESID74M2","RINVRESID74M3","RINVRESID74M4","RINVRESID74M5","RINVRESID74M6","RINVRESID74M7","RINVRESID74M8","RINVRESID74M9","RINVRESID74M10","RINVRESID74M11","RINVRESID74M12","RINVRESID75M1","RINVRESID75M2","RINVRESID75M3","RINVRESID75M4","RINVRESID75M5","RINVRESID75M6","RINVRESID75M7","RINVRESID75M8","RINVRESID75M9","RINVRESID75M10","RINVRESID75M11","RINVRESID75M12","RINVRESID76M1","RINVRESID76M2","RINVRESID76M3","RINVRESID76M4","RINVRESID76M5","RINVRESID76M6","RINVRESID76M7","RINVRESID76M8","RINVRESID76M9","RINVRESID76M10","RINVRESID76M11","RINVRESID76M12","RINVRESID77M1","RINVRESID77M2","RINVRESID77M3","RINVRESID77M4","RINVRESID77M5","RINVRESID77M6","RINVRESID77M7","RINVRESID77M8","RINVRESID77M9","RINVRESID77M10","RINVRESID77M11","RINVRESID77M12","RINVRESID78M1","RINVRESID78M2","RINVRESID78M3","RINVRESID78M4","RINVRESID78M5","RINVRESID78M6","RINVRESID78M7","RINVRESID78M8","RINVRESID78M9","RINVRESID78M10","RINVRESID78M11","RINVRESID78M12","RINVRESID79M1","RINVRESID79M2","RINVRESID79M3","RINVRESID79M4","RINVRESID79M5","RINVRESID79M6","RINVRESID79M7","RINVRESID79M8","RINVRESID79M9","RINVRESID79M10","RINVRESID79M11","RINVRESID79M12"
"1962:Q2","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6"
"1962:Q3","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","24.2","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9","38.9"
"1962:Q4","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8","38.8"
"1963:Q1","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2","40.2"
"1963:Q2","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3"
"1963:Q3","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","24.7","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9"
"1963:Q4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","25.4","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6","45.6"
"1964:Q1","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","25.0","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4","46.4"
"1964:Q2","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","24.3","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1"
"1964:Q3","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8"
"1964:Q4","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.5","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9"
"1965:Q1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4","43.4"
"1965:Q2","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1","44.1"
"1965:Q3","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0"
"1965:Q4","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3","42.3"
"1966:Q1","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","23.6","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7","42.7"
"1966:Q2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","22.2","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1","40.1"
"1966:Q3","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","20.9","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0"
"1966:Q4","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","18.6","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3","33.3"
"1967:Q1","17.9","17.9","17.9","17.9","17.9","17.9","17.9","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7","32.7"
"1967:Q2","19.0","19.0","19.0","19.0","19.0","19.0","19.0","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","19.2","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3","36.3"
"1967:Q3","21.2","21.2","21.2","21.2","21.2","21.2","21.2","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","21.3","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4"
"1967:Q4","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","23.0","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4","41.4"
"1968:Q1","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.9","22.9","22.9","22.9","22.9","22.9","22.9","22.9","22.9","22.9","22.9","22.9","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9","41.9"
"1968:Q2","23.5","23.5","23.5","23.5","23.5","23.5","23.5","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.8","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9","42.9"
"1968:Q3","22.7","22.7","22.7","22.7","22.7","22.7","22.7","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.8","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","22.6","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8","42.8"
